Time (sec),Accel Position (%),Baro Pressure (kPa),Boost (kPa),Coolant Temp (C),Fuel Press Final (kPa),Fuel Press Raw (kPa),Gear Position (Gear),Intake Temp (C),Man Abs Press (kPa),RPM (RPM),Req Torque (Nm),Target Throttle (%),Throttle Pos (%),Vehicle Speed (kph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2020 USDM WRX STI COBB Custom Features][Reflash: Stage1 ACN91 v400 Boost Select.ptm - Realtime: Stage1 ACN91 v400 Boost Select.ptm]
10.289,0.0,99.97,-56.47,87,0.00,0.00,0,57,43.30,768,0.00,0.00,3.9,0,0.00,0
10.368,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.23,770,0.00,0.00,3.9,0,0.00,0
10.433,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.09,767,0.00,0.00,3.9,0,0.00,0
10.522,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.30,766,0.00,0.00,3.9,0,0.00,0
10.578,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,767,0.00,0.00,3.9,0,0.00,0
10.672,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,769,0.00,0.00,3.9,0,0.00,0
10.729,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,767,0.00,0.00,3.9,0,0.00,0
10.811,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,767,0.00,0.00,3.9,0,0.00,0
10.889,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,767,0.00,0.00,3.9,0,0.00,0
10.958,0.0,99.97,-56.47,87,0.00,0.00,0,57,43.30,778,0.00,0.00,3.9,0,0.00,0
11.044,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.30,777,0.00,0.00,3.9,0,0.00,0
11.110,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,776,0.00,0.00,3.9,0,0.00,0
11.178,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,770,0.00,0.00,3.9,0,0.00,0
11.262,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.30,774,0.00,0.00,3.9,0,0.00,0
11.340,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.30,776,0.00,0.00,3.9,0,0.00,0
11.407,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,781,0.00,0.00,3.9,0,0.00,0
11.487,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,786,0.00,0.00,3.9,0,0.00,0
11.561,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,790,0.00,0.00,3.9,0,0.00,0
11.636,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,796,0.00,0.00,3.9,0,0.00,0
11.704,0.0,99.97,-57.02,87,0.00,0.00,0,57,42.95,794,0.00,0.00,3.9,0,0.00,0
11.788,0.0,99.97,-56.95,87,0.00,0.00,0,57,42.95,795,0.00,0.00,3.9,0,0.00,0
11.866,0.0,99.97,-57.02,87,0.00,0.00,0,57,42.82,790,0.00,0.00,3.9,0,0.00,0
11.931,0.0,99.97,-56.95,87,0.00,0.00,0,57,42.95,784,0.00,0.00,3.9,0,0.00,0
12.021,0.0,99.97,-57.02,87,0.00,0.00,0,57,42.95,782,0.00,0.00,3.9,0,0.00,0
12.080,0.0,99.97,-56.81,87,0.00,0.00,0,57,42.95,783,0.00,0.00,3.9,0,0.00,0
12.169,0.0,99.97,-57.02,87,0.00,0.00,0,57,42.95,779,0.00,0.00,3.9,0,0.00,0
12.232,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,776,0.00,0.00,3.9,0,0.00,0
12.315,0.0,99.97,-56.81,87,0.00,0.00,0,57,43.09,780,0.00,0.00,3.9,0,0.00,0
12.391,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,771,0.00,0.00,3.9,0,0.00,0
12.456,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,764,0.00,0.00,3.9,0,0.00,0
12.528,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.23,761,0.00,0.00,3.9,0,0.00,0
12.618,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.09,768,0.00,0.00,3.9,0,0.00,0
12.681,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.30,772,0.00,0.00,3.9,0,0.00,0
12.762,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.23,766,0.00,0.00,3.9,0,0.00,0
12.841,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.23,768,0.00,0.00,3.9,0,0.00,0
12.909,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.30,766,0.00,0.00,3.9,0,0.00,0
12.989,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.09,768,0.00,0.00,3.9,0,0.00,0
13.053,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.30,761,0.00,0.00,3.9,0,0.00,0
13.149,0.0,99.97,-56.47,87,0.00,0.00,0,57,43.30,761,0.00,0.00,3.9,0,0.00,0
13.205,0.0,99.97,-56.47,87,0.00,0.00,0,57,43.30,765,0.00,0.00,3.9,0,0.00,0
13.294,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.23,776,0.00,0.00,3.9,0,0.00,0
13.360,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.44,778,0.00,0.00,3.9,0,0.00,0
13.449,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,784,0.00,0.00,3.9,0,0.00,0
13.505,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,777,0.00,0.00,3.9,0,0.00,0
13.595,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,784,0.00,0.00,3.9,0,0.00,0
13.662,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,784,0.00,0.00,3.9,0,0.00,0
13.730,0.0,99.97,-57.02,87,0.00,0.00,0,57,42.82,791,0.00,0.00,3.9,0,0.00,0
13.812,0.0,99.97,-56.81,87,0.00,0.00,0,57,43.09,789,0.00,0.00,3.9,0,0.00,0
13.890,0.0,99.97,-57.02,87,0.00,0.00,0,57,42.95,792,0.00,0.00,3.9,0,0.00,0
